================================================
Unicode Constants for XML::Xerces::SchemaSymbols
================================================

Here are the list of the unicode constants defined in the
XML::Xerces::SchemaSymbols class, followed by their string representation

last updated 2006-10-02
--

fgATTVAL_ANYTYPE                  'anyType'
fgATTVAL_BASE64                   'base64'
fgATTVAL_BOOLEAN                  'boolean'
fgATTVAL_DEFAULT                  'default'
fgATTVAL_ELEMENTONLY              'elementOnly'
fgATTVAL_EMPTY                    'empty'
fgATTVAL_EXTENSION                'extension'
fgATTVAL_FALSE                    'false'
fgATTVAL_FIXED                    'fixed'
fgATTVAL_HEX                      'hex'
fgATTVAL_ID                       'ID'
fgATTVAL_LAX                      'lax'
fgATTVAL_MAXLENGTH                'maxLength'
fgATTVAL_MINLENGTH                'minLength'
fgATTVAL_MIXED                    'mixed'
fgATTVAL_NCNAME                   'NCName'
fgATTVAL_OPTIONAL                 'optional'
fgATTVAL_POUNDALL                 '#all'
fgATTVAL_PROHIBITED               'prohibited'
fgATTVAL_QNAME                    'QName'
fgATTVAL_QUALIFIED                'qualified'
fgATTVAL_REQUIRED                 'required'
fgATTVAL_RESTRICTION              'restriction'
fgATTVAL_SKIP                     'skip'
fgATTVAL_STRICT                   'strict'
fgATTVAL_STRING                   'string'
fgATTVAL_SUBSTITUTION             'substitution'
fgATTVAL_SUBSTITUTIONGROUP        'substitutionGroup'
fgATTVAL_TEXTONLY                 'textOnly'
fgATTVAL_TIMEDURATION             'timeDuration'
fgATTVAL_TRUE                     'true'
fgATTVAL_TWOPOUNDANY              '##any'
fgATTVAL_TWOPOUNDLOCAL            '##local'
fgATTVAL_TWOPOUNDOTHER            '##other'
fgATTVAL_TWOPOUNDTRAGETNAMESPACE  '##targetNamespace'
fgATTVAL_UNQUALIFIED              'unqualified'
fgATTVAL_URI                      'uri'
fgATTVAL_URIREFERENCE             'uriReference'
fgATT_ABSTRACT                    'abstract'
fgATT_ATTRIBUTEFORMDEFAULT        'attributeFormDefault'
fgATT_BASE                        'base'
fgATT_BLOCK                       'block'
fgATT_BLOCKDEFAULT                'blockDefault'
fgATT_DEFAULT                     'default'
fgATT_ELEMENTFORMDEFAULT          'elementFormDefault'
fgATT_FINAL                       'final'
fgATT_FINALDEFAULT                'finalDefault'
fgATT_FIXED                       'fixed'
fgATT_FORM                        'form'
fgATT_ID                          'id'
fgATT_ITEMTYPE                    'itemType'
fgATT_MAXOCCURS                   'maxOccurs'
fgATT_MEMBERTYPES                 'memberTypes'
fgATT_MINOCCURS                   'minOccurs'
fgATT_MIXED                       'mixed'
fgATT_NAME                        'name'
fgATT_NAMESPACE                   'namespace'
fgATT_NILL                        'nil'
fgATT_NILLABLE                    'nillable'
fgATT_PROCESSCONTENTS             'processContents'
fgATT_PUBLIC                      'public'
fgATT_REF                         'ref'
fgATT_REFER                       'refer'
fgATT_SCHEMALOCATION              'schemaLocation'
fgATT_SOURCE                      'source'
fgATT_SUBSTITUTIONGROUP           'substitutionGroup'
fgATT_SYSTEM                      'system'
fgATT_TARGETNAMESPACE             'targetNamespace'
fgATT_TYPE                        'type'
fgATT_USE                         'use'
fgATT_VALUE                       'value'
fgATT_VERSION                     'version'
fgATT_XPATH                       'xpath'
fgDT_ANYSIMPLETYPE                'anySimpleType'
fgDT_ANYURI                       'anyURI'
fgDT_BASE64BINARY                 'base64Binary'
fgDT_BOOLEAN                      'boolean'
fgDT_BYTE                         'byte'
fgDT_DATE                         'date'
fgDT_DATETIME                     'dateTime'
fgDT_DAY                          'gDay'
fgDT_DECIMAL                      'decimal'
fgDT_DOUBLE                       'double'
fgDT_DURATION                     'duration'
fgDT_FLOAT                        'float'
fgDT_HEXBINARY                    'hexBinary'
fgDT_INT                          'int'
fgDT_INTEGER                      'integer'
fgDT_LANGUAGE                     'language'
fgDT_LONG                         'long'
fgDT_MONTH                        'gMonth'
fgDT_MONTHDAY                     'gMonthDay'
fgDT_NAME                         'Name'
fgDT_NCNAME                       'NCName'
fgDT_NEGATIVEINTEGER              'negativeInteger'
fgDT_NONNEGATIVEINTEGER           'nonNegativeInteger'
fgDT_NONPOSITIVEINTEGER           'nonPositiveInteger'
fgDT_NORMALIZEDSTRING             'normalizedString'
fgDT_POSITIVEINTEGER              'positiveInteger'
fgDT_QNAME                        'QName'
fgDT_SHORT                        'short'
fgDT_STRING                       'string'
fgDT_TIME                         'time'
fgDT_TOKEN                        'token'
fgDT_UBYTE                        'unsignedByte'
fgDT_UINT                         'unsignedInt'
fgDT_ULONG                        'unsignedLong'
fgDT_URIREFERENCE                 'uriReference'
fgDT_USHORT                       'unsignedShort'
fgDT_YEAR                         'gYear'
fgDT_YEARMONTH                    'gYearMonth'
fgELT_ALL                         'all'
fgELT_ANNOTATION                  'annotation'
fgELT_ANY                         'any'
fgELT_ANYATTRIBUTE                'anyAttribute'
fgELT_APPINFO                     'appinfo'
fgELT_ATTRIBUTE                   'attribute'
fgELT_ATTRIBUTEGROUP              'attributeGroup'
fgELT_CHOICE                      'choice'
fgELT_COMPLEXCONTENT              'complexContent'
fgELT_COMPLEXTYPE                 'complexType'
fgELT_CONTENT                     'content'
fgELT_DOCUMENTATION               'documentation'
fgELT_DURATION                    'duration'
fgELT_ELEMENT                     'element'
fgELT_ENCODING                    'encoding'
fgELT_ENUMERATION                 'enumeration'
fgELT_EXTENSION                   'extension'
fgELT_FIELD                       'field'
fgELT_FRACTIONDIGITS              'fractionDigits'
fgELT_GROUP                       'group'
fgELT_IMPORT                      'import'
fgELT_INCLUDE                     'include'
fgELT_KEY                         'key'
fgELT_KEYREF                      'keyref'
fgELT_LENGTH                      'length'
fgELT_LIST                        'list'
fgELT_MAXEXCLUSIVE                'maxExclusive'
fgELT_MAXINCLUSIVE                'maxInclusive'
fgELT_MAXLENGTH                   'maxLength'
fgELT_MINEXCLUSIVE                'minExclusive'
fgELT_MININCLUSIVE                'minInclusive'
fgELT_MINLENGTH                   'minLength'
fgELT_NOTATION                    'notation'
fgELT_PATTERN                     'pattern'
fgELT_PERIOD                      'period'
fgELT_REDEFINE                    'redefine'
fgELT_RESTRICTION                 'restriction'
fgELT_SCHEMA                      'schema'
fgELT_SELECTOR                    'selector'
